doi	text	study type	center
10.1101/2020.04.29.20085308	Chloroquine Administration in Breastfeeding Mothers Associates with Increased HIV-1 Plasma Viral Loads. Chloroquine (CQ) and Hydroxychloroquine (HCQ) have been proposed to be effective at treating COVID-19 patients. We, and others, have previously reported on the capacity of CQ to reduce HIV-1 replication in vitro. We tested CQ administration in post-partum mothers on influencing HIV-1 viral loads in human milk as a means of lowering mother to child transmission. A Phase I/II, randomized, placebo-controlled study to evaluate chloroquine administration to reduce HIV-1 RNA levels in human milk: the CHARGE study. Thirty HIV-1 positive pregnant Rwandese women (CQ n = 20; placebo n = 10) were enrolled in a 16-week study, with the treatment group receiving a 200 mg oral dose of CQ daily. Base-line plasma viral load (pVL) measurements and CD4 counts were determined prior to delivery, and pVL, breast milk VL (bmVL) and CQ levels measured during treatment. For women receiving treatment, CQ concentration was higher in breast milk compared to plasma (over 2.5-fold), with a positive correlation between the levels in the two compartments (P < 0.003). A link between high CQ concentrations in plasma and high CD4 counts (P < 0.001) was observed. Surprisingly, we found a significant increase in pVL after CQ treatment in over half of the mothers (n=11; P < 0.001) and with no alteration to bmVL measurements. No specific amino acid alterations in the gp120 envelope sequences could be associated with CQ administration. CQ usage is associated with a significant increase to pVL in early breastfeeding mothers from Rwanda which cautions against the use of CQ in such individuals. Our results highlight a discrepancy between CQ effects on modulating HIV-1 replication in vitro versus in vivo and indicate caution when prescribing CQ to post-partum HIV-1 untreated mothers. This discrepancy should be taken into consideration when testing CQ or HCQ treatment in COVID-19 clinical trials, especially relating to the post-partum setting.	RCT	single center
10.1101/2020.04.29.20085621	Is Hydroxychloroquine Safe During Pregnancy? Observations from Penn Medicine. A novel strain of coronavirus appeared in December 2019. Over the next few months, this novel coronavirus spread throughout the world, being declared a pandemic by the World Health Organization on March 11, 2020. As of this writing (March 28, 2020) over one hundred thousand individuals in the United States of America were confirmed cases. One way of treating the associated disease, COVID-19, is to reuse existing FDA-approved medications. One medication that has shown promise is hydroxychloroquine (HCQ). However, the utility and safety of HCQ among pregnant COVID-19 patients remains a concern.	observational study	single center
10.1101/2020.04.24.20078303	Concentration-dependent mortality of chloroquine in overdose. Hydroxychloroquine and chloroquine are used extensively in malaria and rheumatological conditions, and now in COVID-19 prevention and treatment. Although generally safe they are potentially lethal in overdose. In-vitro data suggest that high concentrations and thus high doses are needed for COVID-19 infections, but as yet there is no convincing evidence they are clinically effective. Bayesian regression models were fitted to survival outcomes and electrocardiograph QRS durations from 302 prospectively studied French patients who had taken intentional chloroquine overdoses, of whom 33 died (11%), and 16 healthy volunteers who took 620 mg base chloroquine single doses. Whole blood concentrations of 13.5 umol/L (95% credible interval 10.1-17.7) were associated with 1% mortality. Prolongation of ventricular depolarisation is concentration-dependent with a QRS duration >150 msec independently highly predictive of mortality. Pharmacokinetic modelling combined with these lethality data predicts that the majority of chloroquine regimens trialled in COVID-19 should not cause serious cardiovascular toxicity.	observational study	multicenter
10.1101/2020.04.10.20060335	Clinical features and management of severe COVID-19: A retrospective study in Wuxi, Jiangsu Province, China. Objective: We aimed to investigate clinical features and management of 55 COVID-19 patients in Wuxi, especially severe COVID-19. Methods: Epidemiological, demographic, clinical, laboratory, imaging, treatment, and outcome data of patients were collected. Follow-up lasted until April 6, 2020. Results: All 55 patients included 47 (85.5%) non-severe patients and 8 (14.5%) severe patients. Common comorbidities were hypertension and diabetes. Common symptoms were fever, cough and sputum. Lymphopenia was a common laboratory finding, and ground-glass opacity was a common chest CT feature. All patients received antiviral therapy of -interferon inhalation and lopinavir-ritonavir tablets. Common complications included acute liver injury and respiratory failure. All patients were discharged. No death was occurred and no medical staff got infected. Patients with severe COVID-19 showed significantly older age, decreased lymphocytes, increased C reactive protein, and higher frequency of bilateral lung infiltration compared to non-severe patients. Significantly more treatments including antibiotic therapy and mechanical ventilation, longer hospitalization stay and higher cost were shown on severe patients. Conclusions: Our study suggested that patients with severe COVID-19 may be more likely to have an older age, present with lymphopenia and bilateral lung infiltration, receive multiple treatments and stay longer in hospital.	observational study	single center
10.1101/2020.04.22.20075671	Experience with Hydroxychloroquine and Azithromycin in the COVID-19 Pandemic: Implications for QT Interval Monitoring. Background: Despite a paucity of clinical evidence, hydroxychloroquine and azithromycin are being administered widely to patients with verified or suspected COVID-19. Both drugs may increase risk of lethal arrhythmias associated with QT interval prolongation. Methods: We performed a case series of COVID-19 positive/suspected patients admitted between 2/1/2020 and 4/4/2020 who were treated with azithromycin, hydroxychloroquine or a combination. We evaluated baseline and post-medication QT interval (QTc, Bazett) using 12-lead ECGs. Critical QTc prolongation was defined as: a) maximum QTc [&ge;]500 ms (if QRS <120 ms) or QTc [&ge;]550 (if QRS [&ge;]120 ms) and b) increased QTc of [&ge;]60 ms. Tisdale score and Elixhauser comorbidity index were calculated. Results: Of 490 COVID-19 positive/suspected patients, 314 (64%) received either/both drugs, and 98 (73 COVID-19 positive, 25 suspected) met study criteria (age 62{+/-}17 yrs, 61% male). Azithromycin was prescribed in 28%, hydroxychloroquine in 10%, and both in 62%. Baseline mean QTc was 448{+/-}29 ms and increased to 459{+/-}36ms (p=0.005) with medications. Significant prolongation was observed only in men (18{+/-}43 ms vs -0.2{+/-}28 ms in women, p=0.02). 12% of patients reached critical QTc prolongation. In a multivariable logistic regression, age, sex, Tisdale score, Elixhauser score, and baseline QTc were not associated with critical QTc prolongation (p>0.14). Changes in QTc were highest with the combination compared to either drug, with many-fold greater prolongation with the combination vs. azithromycin alone (17{+/-}39 vs. 0.5{+/-}40 ms, p=0.07). No patients manifested torsades de pointes. Conclusions: Overall, 12% of patients manifested critical QTc interval prolongation, and traditional risk indices failed to flag these patients. With the drug combination, QTc prolongation was several-fold higher compared to azithromycin alone. The balance between uncertain benefit and potential risk when treating COVID-19 patients with these drugs should be carefully assessed prior to use.	other	single center
10.1101/2020.05.25.20112912	Prevalence and risk factors for mortality related to COVID-19 in a severely affected area of Madrid, Spain. BACKGROUND: The coronavius disease 2019 (COVID-9) caused by the severe acute respiratory syndrome coronavirus 2 reached Spain by 31 January 2020, in April 2020, the Comunidad de Madrid suffered one of the world's highest crude mortality rate ratios. This study aimed to detect risk factors for mortality in patients with COVID-19. METHODS: Our cohort were all consecutive adult patients with laboratory-confirmed COVID-19 at a secondary hospital in Madrid, March 3-16, 2020. Clinical and laboratory data came from electronic clinical records and were compared between survivors and non-survivors, with outcomes followed up until April 4. Univariable and multivariable logistic regression methods allowed us to explore risk factors associated with in-hospital death. FINDINGS: The cohort comprised 562 patients with COVID-19. Clinical records were available for evaluation for 392 patients attended at the emergency department of our hospital, of whom 199 were discharged, 85 remained hospitalized and 108 died during hospitalization. Among 311 of the hospitalized patients, 34.7% died. Of the 392 patients with records, the median age was 71.5 years (50.6-80.7); 52.6% were men. 252 (64.3%) patients had a comorbidity, hypertension being the most common: 175 (44.6%), followed by other cardiovascular disease: 102 (26.0%) and diabetes: 97 (24.7%). Multivariable regression showed increasing odds of in-hospital death associated with age over 65 (odds ratio 8.32, 95% CI 3.01-22.96; p<0.001), coronary heart disease (2.76, 1.44-5.30; 0.002), and both lower lymphocyte count (0.34, 0.17-0.68; 0.002) and higher LDH (1.25, 1.05-1.50; 0.012) per 1-unit increase and per 100 units respectively. INTERPRETATION: COVID-19 was associated in our hospital at the peak of the pandemic with a crude mortality ratio of 19.2% and a mortality ratio of 34.7% in admitted patients, considerably above most of the ratios described in the Chinese series. These results leave open the question as to which factors, epidemiological or intrinsically viral, apart from age and comorbidities, can explain this difference in excess mortality. FUNDING: None.	observational study	single center
10.1101/2020.05.09.20096495	Clinical Characteristics, Risk Factors and Outcomes Among the First Consecutive 1,096 Patients Diagnosed with COVID-19: The Kuwait Experience. Background In Kuwait, prior to the first case of COVID-19 being reported in the country, mass screening of incoming travelers from countries with known outbreaks was performed and resulted in the first identified cases in the country. All COVID-19 cases at the time and subsequently after, were transferred to a single center, Jaber Al-Ahmad Al-Sabah Hospital, where the patients received standardized investigations and treatments. The objective of this study was to characterize the demographics, clinical manifestations and outcomes in this unique patient population. Methods This retrospective cohort study was conducted between 24th February 2020 and 20th April 2020. All consecutive patients in the entire State of Kuwait diagnosed with COVID-19 according to WHO guidelines and admitted to Jaber Al-Ahmad Al-Sabah Hospital were recruited. Patients received standardized investigations and treatments. Multivariable analysis was used to determine the associations between risk factors and outcomes. Findings Of 1096 patients, the median age was 41 years and 81% of patients were male. Most patients were asymptomatic on admission (49.5%), 69.4% had no signs of infection and 94.6% were afebrile. Only 3.6% of patients required an ICU admission and 1.7% were dead at the study cutoff date. On multivariate analysis, the risk factors found to be significantly associated with admission to intensive care were age above 50 years old, a qSOFA score above 0, smoking, elevated CRP and elevated procalcitonin levels. Asthma, smoking and elevated procalcitonin levels correlated significantly with mortality in our cohort. Interpretation To our knowledge, this is the first large retrospective cohort study observing the characteristics of the initial consecutive COVID-19 patients of an entire country. Further, large proportion of asymptomatic patients provides novel insights into the clinical features of patients with milder disease.	observational study	single center
10.1101/2020.05.08.20095679	Negative nasopharyngeal SARS-CoV-2 PCR conversion in Response to different therapeutic interventions. BACKGROUND: Despite lack of convincing evidence of the efficacy of hydroxychloroquine, it has been suggested to be used for the treatment of SARS CoV 2 to accelerate the negative virus conversion. We aimed to explore the association between negative nasopharyngeal SARS CoV 2 PCR clearance and different therapeutic interventions. METHODOLOGY: This was a retrospective cohort study of 93 patients who were admitted to medical ward with a PCR confirmed diagnosis of COVID 19 and met the inclusion criteria in a tertiary hospital in Mecca, Saudi Arabia. There were three interventional subgroups (group A (n=45): who received antimalarial drug only classified as (A1), combined with azithromycin (A2) or combined with antiviral drugs (A3)), and one supportive care group (group B) (n=48). The primary and secondary endpoints of the study were achieving negative SARS_CoV_2 nasopharyngeal PCR sample within five days or less from the start of the intervention and 12 days or less from the diagnose, respectively. RESULTS: The mean age of the patients was 43.9 years (SD:15.9). A median time of 3.00 days (IQR:2.00 to 6.50) needed from the time of starting the intervention/supportive care to the first negative PCR sample. There was no statistically significant difference neither between the percentage of patients in the interventional group and the supportive care group who achieved the primary or the secondary endpoint, nor in the median time needed to achieve the first negative PCR sample (p>0.05). CONCLUSION: Prescribing antimalarial medications was not shown to shorten the disease course nor to accelerate the negative PCR conversion rate.	other	single center
10.1101/2020.04.08.20057539	The Use of Adjuvant Therapy in Preventing Progression to Severe Pneumonia in Patients with Coronavirus Disease 2019: A Multicenter Data Analysis. ABSTRACT IMPORTANCE Coronavirus disease 2019 (COVID-19) is a global pandemic associated with high mortality and effective treatment to prevent clinical deterioration to severe pneumonia has not yet been well clarified. OBJECTIVE To investigate the role of several adjuvant treatments in preventing severe pneumonia in patients with COVID-19. DESIGN, SETTING, AND PARTICIPANTS Multicenter, retrospective cohort study of 564 consecutively hospitalized patients with confirmed COVID-19 at Third Xiangya Hospital of Central South University, Changsha Public Health Treatment Center, First Hospital of Yueyang, Junshan People's Hospital of Yueyang, Central Hospital of Shaoyang, Central Hospital of Xiangtan, Second Hospital of Changde, Central Hospital of Loudi, and First Affiliated Hospital of University of South China in Hunan province from January 17, 2020 to February 28, 2020; The final date of follow-up was March 15, 2020. EXPOSURES Nonspecific antivirals (arbidol, lopinavir/ritonavir, and interferon ), antihypertensives, and chloroquine. MAIN OUTCOMES AND MEASURES The development of severe COVID-19 pneumonia; Demographic, epidemiological, clinical, laboratory, radiological, and treatment data were collected and analyzed. RESULTS Of 564 patients, the median age was 47 years (interquartile range, 36-58 years), and 284 (50.4%) patients were men. Sixty-nine patients (12.2%) developed severe pneumonia. Patients who developed severe pneumonia were older (median age of 59 and 45 years, respectively), and more patients had comorbidities including hypertension (30.4% and 12.3%, respectively), diabetes (17.4% and 6.7%, respectively), and cardiovascular disease (8.7% and 3.2%, respectively) and presented with fever (84.1% and 60.4%, respectively) and shortness of breath (10.1% and 3.8%, respectively) compared with those who did not. Nonspecific antiviral therapy did not prevent clinical progression to severe pneumonia, although fewer hypertensive patients on angiotensin-converting enzyme inhibitors or angiotensin-receptor blockers (ACEI/ARB) therapy developed severe pneumonia in contrast with those on non-ACEI/ARB antihypertensive therapy (1 of 16 [6.3%] patients and 16 of 49 [32.7%] patients, respectively [difference, 26.4%; 95% CI, 1.5% to 41.3%]). Multivariate logistic regression analysis showed that hypertension without receiving ACEI/ARB therapy was an independent risk factor (odds ratio [OR], 2.07; 95% CI, 1.07 to 4.00) for developing severe pneumonia irrespective of age. Besides, none of patients treated with chloroquine developed severe pneumonia, though without significance (difference, 12.0%; 95% CI, -3.5% to 30.0%) by propensity score matching. CONCLUSIONS AND RELEVANCE Hypertensive patients on ACEI or ARB may be protective from severe pneumonia in COVID-19 and hence these therapies should not be ceased unless there is a strong indication or further epidemiological evidence. Though none of the current antiviral and immunoregulation therapy showed benefit in preventing COVID-19 progression, chloroquine deserved further investigation.	observational study	multicenter
10.1101/2020.04.09.20058941	Associations of clinical characteristics and antiviral drugs with viral RNA clearance in patients with COVID-19 in Guangzhou, China: a retrospective cohort study. Background: The novel coronavirus disease 2019 (COVID-19) characterized by respiratory symptoms has become a global pandemic although factors influencing viral RNA clearance remained unclear to inform optimal isolation period and treatment strategies. Methods: In this retrospective study, we included patients with confirmed COVID-19 admitted to Guangzhou Eighth People's Hospital from 20th January 2020 to 15th March 2020. The associations of clinical characteristics and treatment regimens on time to viral RNA clearance were analyzed. Results: We examined 284 consecutive COVID-19 cases, accounting for 82% of confirmed cases in Guangzhou during this period. At the time of reporting (20th March 2020), 276 (97.2%) had recovered and were discharged from hospital with a median hospital stay of 18 days (interquartile range [IQR]:13-24). Overall, 280 patients achieved viral RNA clearance with a median length of 12 days (IQR: 8-16) after onset of illness. Amongst them, 66.1% had viral RNA cleared within 14 days, and 89.3% within 21 days. Older age, severity of disease, time lag from illness onset to hospital admission, high body temperature, and corticosteroid use were associated with delayed clearance of viral RNA. None of the antiviral regimens (chloroquine, oseltamivir, arbidol, and lopinavir/ritonavir) improved viral RNA clearance. The use of lopinavir/ritonavir was associated with delayed clearance of viral RNA even after adjusting for confounders. Conclusion: In patients with COVID-19, isolation for a minimum of 21 days after onset of illness may be warranted, while the use of antiviral drugs does not enhance viral RNA clearance.	observational study	single center
10.1101/2020.05.21.20109207	Hydroxychloroquine and Tocilizumab Therapy in COVID-19 Patients - An Observational Study. Background: Hydroxychloroquine has been touted as a COVID-19 treatment. Tocilizumab, an inhibitor of IL-6, has been proposed as a treatment of critically ill patients. Objective: To describe the association between mortality and hydroxychloroquine or tocilizumab therapy among hospitalized COVID-19 patients. Design: Retrospective observational cohort study of electronic health records Setting: 13-hospital network spanning the state of New Jersey. Participants: Patients hospitalized between March 1, 2020 and April 22, 2020 with positive polymerase chain reaction results for SARS-CoV-2. Follow up was through May 5, 2020. Main Outcomes: The primary outcome was death. Results: Among 2512 hospitalized patients with COVID-19 there have been 547 deaths (22%), 1539 (61%) discharges and 426 (17%) remain hospitalized. 1914 (76%) received at least one dose of hydroxychloroquine and 1473 (59%) received hydroxychloroquine with azithromycin. After adjusting for imbalances via propensity modeling, compared to receiving neither drug, there were no significant differences in associated mortality for patients receiving any hydroxychloroquine during the hospitalization (HR, 0.99 [95% CI, 0.80-1.22]), hydroxychloroquine alone (HR, 1.02 [95% CI, 0.83-1.27]), or hydroxychloroquine with azithromycin (HR, 0.98 [95% CI, 0.75-1.28]). The 30-day unadjusted mortality for patients receiving hydroxychloroquine alone, azithromycin alone, the combination or neither drug was 25%, 20%, 18%, and 20%, respectively. Among 547 evaluable ICU patients, including 134 receiving tocilizumab in the ICU, an exploratory analysis found a trend towards an improved survival association with tocilizumab treatment (adjusted HR, 0.76 [95% CI, 0.57-1.00]), with 30 day unadjusted mortality with and without tocilizumab of 46% versus 56%. Conclusions: This observational cohort study suggests hydroxychloroquine, either alone or in combination with azithromycin, was not associated with a survival benefit among hospitalized COVID-19 patients. Tocilizumab demonstrated a trend association towards reduced mortality among ICU patients. Our findings are limited to hospitalized patients and must be interpreted with caution while awaiting results of randomized trials.	observational study	multicenter
10.1101/2020.05.18.20066902	Doxycycline and Hydroxychloroquine as Treatment for High-Risk COVID-19 Patients: Experience from Case Series of 54 Patients in Long-Term Care Facilities. Importance: Patients in long-term care facilities (LTCF) are at a high-risk of contracting COVID-19 due to advanced age and multiple comorbidities. Without effective treatments, outbreaks in such facilities will become commonplace and will result in severe morbidity and mortality. The effectiveness of doxycycline (DOXY) and hydroxychloroquine (HCQ) combination therapy in high risk COVID-19 patients in long-term care facilities is not yet understood. Objective: The goal of this analysis is to describe outcomes after use of DOXY-HCQ combination in high-risk COVID-19 patients in LTCF. Design: Case-series analysis. Setting: Three (3) LTCFs in New York. Participants: From March 19 to March 30, 2020, fifty-four (54) patients, residents of three (3) LTCFs in New York and diagnosed (confirmed or presumed) with COVID-19, were included in this analysis. Exposure: All patients who were diagnosed (confirmed or presumed) with COVID-19 received DOXY-HCQ combination therapy along with standard of care. Main Outcomes and Measures: Patients characteristics, clinical recovery, radiological improvements, medication side-effects, hospital transfer, and death were assessed as outcome measures. Results: A series of fifty-four (54) high-risk patients, who developed a sudden onset of fever, cough, and shortness of breath (SOB) and were diagnosed or presumed to have COVID-19, were started with a combination of DOXY-HCQ and 85% (n=46) patients showed clinical recovery defined as: resolution of fever and SOB, or a return to baseline setting if patients are ventilator-dependent. A total of 11% (n=6) patients were transferred to acute care hospitals due to clinical deterioration and 6% (n=3) patients died in the facilities. Naive Indirect Comparison suggests these data were significantly better outcomes than the data reported in MMWR (reported on March 26, 2020) from a long-term care facility in King County, Washington where 57% patients were hospitalized, and 22% patients died. Conclusion: The clinical experience of this case series indicates DOXY-HCQ treatment in high-risk COVID-19 patients is associated with a reduction in clinical recovery, decreased transfer to hospital and decreased mortality were observed after treatment with DOXY-HCQ.	other	multicenter
10.1101/2020.04.10.20061358	Neuropsychiatric adverse events of chloroquine: A real-world pharmacovigilance study using the FAERS database. Objectives: In early April 2020, the antimalarial drug, chloroquine, has been approved as an emergency treatment for the coronavirus disease 2019 (COVID-19) in the United States and in Europe. Although infrequent, neuropsychiatric symptoms have been reported in patients who received chloroquine for the treatment of malaria or autoimmune diseases. In this study, we investigated these adverse events (AEs) using a large self-reporting database. Materials and Methods: We conducted a disproportionality analysis for the detection of neuropsychiatric AE signals associated with the use of chloroquine (or hydroxychloroquine), reported to FAERS database between the fourth quarter of 2012 and the fourth quarter of 2019. Adjusted reporting odds ratio (ROR) for the development of each of the neuropsychiatric AEs following the use of chloroquine was calculated using a multilevel model. Results: We included 2,389,474 AE cases, among which 520 cases developed neuropsychiatric AE following the use of chloroquine. Exposure to chloroquine was associated with a statistically significant high reporting of amnesia, delirium, hallucinations, depression, and loss of consciousness, (lower 95% confidence interval of the adjusted ROR > 1), although the degree of increase in their ROR was limited. There was no statistically significant high reporting of any other neuropsychiatric AE, including suicide, psychosis, confusion, and agitation. Conclusion: Current pharmacovigilance study results did not suggest any potential link between the use of chloroquine and an increased risk of suicide, psychosis, confusion, and agitation, which would be informative during the emergency use of chloroquine for the treatment of COVID-19.	other	multicenter
10.1101/2020.04.11.20056523	The effect of Arbidol Hydrochloride on reducing mortality of Covid-19 patients: a retrospective study of real world date from three hospitals in Wuhan. BACKGROUND The worldwide COVID-19 pandemic develops rapidly. There is a pressing need to find an effective therapy. METHODS We have assembled a cohort consisting 504 hospitalized COVID-19. Information of patients characteristics and antiviral medication use during hospital stay is collected. The study objective is to evaluate the treatment efficacy of selected antiviral medications on mortality and lesion absorption based on chest CT scan. RESULTS The overall mortality rate was 15.67% in the cohort. Older age, lower SpO2 level, bigger lesion, early admission data, and the presence of pre-existing conditions were associated with higher mortality. After adjusting for sex, pre-existing condition, age, SpO2, lesion size, admission data, hospital, and anti-viral medications use, Arbidol and Oseltamivir use is associated with a reduction in mortality. The OR is 0.183 (95% CI, 0.075 to 0.446; p<0.001) for Arbidol and 0.220 (95% CI, 0.069 to 0.707; p=0.011) for Oseltamivir. Compared with patients taking neither Arbidol nor Oseltamivir, the OR is 0.253 (95% CI, 0.064 to 1.001; p=0.050) for patients taking Oseltamivir only; 0.190 (95% CI, 0.076 to 0.473; p<0.001) for patients taking Arbidol only; and 0.030 (95% CI, 0.003 to 0.310; p=0.003) for patients taking both, after adjusting for patients characteristics and Lopinavir/Ritonavir use. Similarly, Arbidol is also associated with faster lesion absorption after adjusting for patients characteristics as well as Oseltamivir and Lopinavir/Ritonavir use. CONCLUSIONS Arbidol is able to substantially associated with a reduction in mortality among hospitalized COVID-19 patients. The combination of Arbidol and Oselmativir may further associated with a reduction in mortality. There is no proven treatment benefit of Lopinavir/Ritonavir.	other	multicenter
10.1101/2020.05.18.20103390	Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET). Background: As of May 15, 2020, the United States has reported the greatest number of coronavirus disease 2019 (COVID-19) cases and deaths globally. Objective: To describe risk factors for severe outcomes among adults hospitalized with COVID-19. Design: Cohort study of patients identified through the Coronavirus Disease 2019-Associated Hospitalization Surveillance Network. Setting: 154 acute care hospitals in 74 counties in 13 states. Patients: 2491 patients hospitalized with laboratory-confirmed COVID-19 during March 1-May 2, 2020. Measurements: Age, sex, race/ethnicity, and underlying medical conditions. Results: Ninety-two percent of patients had at least 1 underlying condition; 32% required intensive care unit (ICU) admission; 19% invasive mechanical ventilation; 15% vasopressors; and 17% died during hospitalization. Independent factors associated with ICU admission included ages 50-64, 65-74, 75-84 and 85+ years versus 18-39 years (adjusted risk ratio (aRR) 1.53, 1.65, 1.84 and 1.43, respectively); male sex (aRR 1.34); obesity (aRR 1.31); immunosuppression (aRR 1.29); and diabetes (aRR 1.13). Independent factors associated with in-hospital mortality included ages 50-64, 65-74, 75-84 and 85+ years versus 18-39 years (aRR 3.11, 5.77, 7.67 and 10.98, respectively); male sex (aRR 1.30); immunosuppression (aRR 1.39); renal disease (aRR 1.33); chronic lung disease (aRR 1.31); cardiovascular disease (aRR 1.28); neurologic disorders (aRR 1.25); and diabetes (aRR 1.19). Race/ethnicity was not associated with either ICU admission or death. Limitation: Data were limited to patients who were discharged or died in-hospital and had complete chart abstractions; patients who were still hospitalized or did not have accessible medical records were excluded. Conclusion: In-hospital mortality for COVID-19 increased markedly with increasing age. These data help to characterize persons at highest risk for severe COVID-19-associated outcomes and define target groups for prevention and treatment strategies.	observational study	multicenter
10.1101/2020.04.20.20061861	"Interleukin-6 blockade for severe COVID-19. In the context of COVID-19 pandemic and growing tensions worldwide regarding healthcare facilities, there is an urgent need for effective treatments likely to reduce the crunch of ICU beds. Following the assumption by Mehta and colleagues who exhorted physicians to screen patients with severe COVID-19 for hyperinflammation and investigate immunomodulatory drugs in this setting, we relate our short-term - yet promising - experience regarding IL6 blockade with tocilizumab in 30 selected patients of less than 80 years of age, >5 days of prior disease duration, severe (i.e. requiring strictly over 6L/min of oxygen therapy) rapidly deteriorating (i.e. increase by more than 3L/min of oxygen flow within the previous 12 hours) COVID-19-related pneumonia. By comparison with a control group of patients (matched for age, gender and disease severity using the inverse probability of treatment weighted methodology) that did not receive tocilizumab. We demonstrate that, in highly selected patients, IL6 blockade could curb the ""cytokine storm"", prevent ICU admission and the requirement for mechanical ventilation. Notwithstanding the shortcomings of this retrospective small sample-size study, we believe that these preliminary findings support the fostering of research efforts in the fight against COVID-19-induced inflammation, especially before patients require admission to the ICU."	other	single center
10.1101/2020.04.06.20042580	Interferon-a2b treatment for COVID-19. Summary Background The global pandemic of COVID-19 cases caused by infection with SARS-CoV-2 is ongoing. We describe here the clinical course of COVID-19 in a cohort of confirmed cases in Wuhan, China, treated with the repurposed potential experimental therapeutics IFN-2b, arbidol or a combination of IFN-2b plus arbidol. Methods 77 adults with confirmed COVID-19 were treated with either nebulized IFN-2b (5mU,b.i.d.), arbidol (200mg dispersible tablet, t.i.d.) or a combination of IFN-2b plus arbidol. Serial SARS-CoV-2 testing along with hematological measurements, including cell counts and blood biochemistry, serum cytokine levels, temperature and blood oxygen saturation levels were recorded for each patient during their hospital stay. Findings Treatment with IFN-2b with or without arbidol significantly reduced the duration of detectable virus in the upper respiratory tract and in parallel reduced duration of elevated blood levels for the inflammatory markers IL-6 and CRP. Interpretation IFN-2b should be investigated as therapy in COVID-19 cases.	observational study	single center
10.1101/2020.04.30.20086090	Incidence of COVID-19 in a cohort of adult and paediatric patients with rheumatic diseases treated with targeted biologic and synthetic disease-modifying anti-rheumatic drugs. OBJECTIVES: To investigate the incidence of COVID-19 in a cohort of adult and paediatric patients with rheumatic diseases receiving targeted biologic and synthetic disease modifying anti-rheumatic drugs (tDMARDs) and to explore the possible effect of these treatments in the clinical expression of COVID-19. METHODS: A cross-sectional study comprising of a telephone survey and electronic health records review was performed including all adult and paediatric patients with rheumatic diseases treated with tDMARDs in a large rheumatology tertiary centre in Barcelona, Spain. Demographics, disease activity, COVID-19 related symptoms and contact history data were obtained from the start of the 2020 pandemic. Cumulative incidence of confirmed cases (SARS-CoV-2 positive PCR test) was compared to the population estimates for the same city districts from a governmental COVID-19 health database. Suspected cases were defined following WHO criteria and compared to those without compatible symptoms. RESULTS: 959 patients with rheumatic diseases treated with tDMARDs were included. We identified 11 confirmed SARS-CoV-2 positive cases in the adult cohort and no confirmed positive cases in the paediatric cohort. All patients had a successful recovery and only one patient required admission in the intensive care unit. When using the same classification criteria (only COVID-19 positive cases with pneumonia), COVID-19 incidence rates of the rheumatic patient cohort were very similar to that of the general population [(0.48% (95% CI 0.09 to 8.65%)] and [0.58% (95% CI 5.62 to 5.99%)], respectively. We found significant differences in tDMARDs proportions between the suspected and non-suspected cases (p=0.002). CONCLUSION: Adult and paediatric patients with rheumatic diseases on tDMARDs do not seem to present a higher risk of COVID-19 or a more severe disease outcome when compared to general population. Our exploratory analysis suggests that the proportion of COVID-19 suspected cases differs between tDMARDs.	observational study	multicenter
10.1101/2020.05.07.20094599	Early outcomes of tocilizumab in adults hospitalized with severe COVID19. An initial report from the Vall dHebron COVID19 prospective cohort study.. Background: Modulation of the immune system to prevent lung injury is being widely used against the new coronavirus disease (COVID19) despite the scarcity of evidence. Methods: We report preliminary results from the Vall dHebron prospective cohort study at Vall dHebron University Hospital, in Barcelona (Spain), including all consecutive patients who had a confirmed infection with the severe acute respiratory syndrome coronavirus2 (SARSCoV2) and who were treated with tocilizumab until March 25th. The primary endpoint was mortality at 7 days after tocilizumab administration. Secondary endpoints were admission to the intensive care unit, development of ARDS and respiratory insufficiency among others. Results: 82 patients with COVID19 received at least one dose of tocilizumab. The mean (SD) age was 59.1 (19.8) years, 63% were male, 22% were of non Spanish ancestry, and the median (IQR) ageadjusted Charlson index at baseline was 3 (1 to 4) points. Respiratory failure and ARDS developed in 62 (75.6%) and 45 (54.9%) patients, respectively. Median time from symptom onset to ARDS development was 8 (5 to 11) days. The median time from symptom onset to the first dose of tocilizumab was 9 (7 to 11) days. Mortality at 7 days was 26.8%. Hazard ratio for mortality was 3.3; 95% CI, 1.3 to 8.5 (age adjusted hazard ratio for mortality 2.1; 95% CI, 0.8 to 5.8) if tocilizumab was administered after the onset of ARDS. Conclusion: Time from lung injury onset to tocilizumab administration may be critical to patient recovery. Our preliminary data could inform bedside decisions until more data from clinical trials becomes available.	observational study	single center
